"filename", "language", "CSS", "JavaScript", "PHP", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\JobRadar\Components\Accueil\entrepriseUser.php", "PHP", 0, 0, -47, 0, -2, -2, -51
"c:\xampp\htdocs\JobRadar\Components\Accueil\infoUser.php", "PHP", 0, 0, -56, 0, -2, -2, -60
"c:\xampp\htdocs\JobRadar\Components\Presentation\entreprise.php", "PHP", 0, 0, -203, 0, -7, -18, -228
"c:\xampp\htdocs\JobRadar\Components\Presentation\experiance.php", "PHP", 0, 0, -163, 0, -13, -12, -188
"c:\xampp\htdocs\JobRadar\Components\Profile\index.php", "PHP", 0, 0, -93, 0, -6, -8, -107
"c:\xampp\htdocs\JobRadar\Components\Prophile\entrepriseProphile.php", "PHP", 0, 0, -47, 0, -2, -2, -51
"c:\xampp\htdocs\JobRadar\Components\Prophile\infoExperiance.php", "PHP", 0, 0, -21, 0, -2, -4, -27
"c:\xampp\htdocs\JobRadar\Components\Prophile\prophile.php", "PHP", 0, 0, -231, 0, -4, -10, -245
"c:\xampp\htdocs\JobRadar\Components\ajout_entreprise.php", "PHP", 0, 0, -46, 0, -2, -4, -52
"c:\xampp\htdocs\JobRadar\Components\ajout_experiance.php", "PHP", 0, 0, -68, 0, -2, -5, -75
"c:\xampp\htdocs\JobRadar\Components\chomeur\Accueil\entrepriseUser.php", "PHP", 0, 0, 47, 0, 2, 2, 51
"c:\xampp\htdocs\JobRadar\Components\chomeur\Accueil\infoUser.php", "PHP", 0, 0, 56, 0, 2, 2, 60
"c:\xampp\htdocs\JobRadar\Components\chomeur\Presentation\entreprise.php", "PHP", 0, 0, 203, 0, 7, 18, 228
"c:\xampp\htdocs\JobRadar\Components\chomeur\Presentation\experiance.php", "PHP", 0, 0, 163, 0, 13, 12, 188
"c:\xampp\htdocs\JobRadar\Components\chomeur\Profile\index.php", "PHP", 0, 0, 93, 0, 6, 8, 107
"c:\xampp\htdocs\JobRadar\Components\chomeur\Prophile\entrepriseProphile.php", "PHP", 0, 0, 47, 0, 2, 2, 51
"c:\xampp\htdocs\JobRadar\Components\chomeur\Prophile\infoExperiance.php", "PHP", 0, 0, 21, 0, 2, 4, 27
"c:\xampp\htdocs\JobRadar\Components\chomeur\Prophile\prophile.php", "PHP", 0, 0, 231, 0, 4, 10, 245
"c:\xampp\htdocs\JobRadar\Components\chomeur\ajout_entreprise.php", "PHP", 0, 0, 46, 0, 2, 4, 52
"c:\xampp\htdocs\JobRadar\Components\chomeur\ajout_experiance.php", "PHP", 0, 0, 68, 0, 2, 5, 75
"c:\xampp\htdocs\JobRadar\Components\chomeur\footer.html", "HTML", 0, 0, 0, 31, 0, 0, 31
"c:\xampp\htdocs\JobRadar\Components\chomeur\header.php", "PHP", 0, 0, 76, 0, 2, 8, 86
"c:\xampp\htdocs\JobRadar\Components\chomeur\index.php", "PHP", 0, 0, 126, 0, 4, 6, 136
"c:\xampp\htdocs\JobRadar\Components\employeur\Accueil\entrepriseUser.php", "PHP", 0, 0, 29, 0, 0, 2, 31
"c:\xampp\htdocs\JobRadar\Components\employeur\Accueil\infoEmployeur.php", "PHP", 0, 0, 26, 0, 0, 3, 29
"c:\xampp\htdocs\JobRadar\Components\employeur\Presentation\entreprise.php", "PHP", 0, 0, 195, 0, 5, 17, 217
"c:\xampp\htdocs\JobRadar\Components\employeur\Profile\index.php", "PHP", 0, 0, 93, 0, 6, 8, 107
"c:\xampp\htdocs\JobRadar\Components\employeur\Prophile\entrepriseProphile.php", "PHP", 0, 0, 27, 0, 0, 2, 29
"c:\xampp\htdocs\JobRadar\Components\employeur\ajout_entreprise.php", "PHP", 0, 0, 46, 0, 2, 4, 52
"c:\xampp\htdocs\JobRadar\Components\employeur\footer.html", "HTML", 0, 0, 0, 31, 0, 0, 31
"c:\xampp\htdocs\JobRadar\Components\employeur\header.php", "PHP", 0, 0, 103, 0, 5, 11, 119
"c:\xampp\htdocs\JobRadar\Components\employeur\index.php", "PHP", 0, 0, 203, 0, 3, 12, 218
"c:\xampp\htdocs\JobRadar\Components\footer.html", "HTML", 0, 0, 0, -31, 0, 0, -31
"c:\xampp\htdocs\JobRadar\Components\footer_general.html", "HTML", 0, 0, 0, 31, 0, 0, 31
"c:\xampp\htdocs\JobRadar\Components\header.php", "PHP", 0, 0, -76, 0, -2, -8, -86
"c:\xampp\htdocs\JobRadar\Components\header_general.php", "PHP", 0, 0, 75, 0, 2, 8, 85
"c:\xampp\htdocs\JobRadar\Components\inscription.php", "PHP", 0, 0, 27, 0, -1, -1, 25
"c:\xampp\htdocs\JobRadar\api\annonce\add_annonce.php", "PHP", 0, 0, -38, 0, -12, -12, -62
"c:\xampp\htdocs\JobRadar\api\annonce\selectAllAnnonce.php", "PHP", 0, 0, -10, 0, 0, -2, -12
"c:\xampp\htdocs\JobRadar\api\chomeur\annonce\add_annonce.php", "PHP", 0, 0, 38, 0, 12, 12, 62
"c:\xampp\htdocs\JobRadar\api\chomeur\annonce\selectAllAnnonce.php", "PHP", 0, 0, 10, 0, 0, 2, 12
"c:\xampp\htdocs\JobRadar\api\chomeur\delete_exp.php", "PHP", 0, 0, 44, 0, 2, 3, 49
"c:\xampp\htdocs\JobRadar\api\chomeur\errorMail.html", "HTML", 0, 0, 0, 42, 0, 4, 46
"c:\xampp\htdocs\JobRadar\api\chomeur\nbr.php", "PHP", 0, 0, 4, 0, 1, 0, 5
"c:\xampp\htdocs\JobRadar\api\chomeur\prophile\edit_photo_prophile.php", "PHP", 0, 0, 76, 0, 6, 7, 89
"c:\xampp\htdocs\JobRadar\api\chomeur\saveExperiance.php", "PHP", 0, 0, 133, 0, 12, 14, 159
"c:\xampp\htdocs\JobRadar\api\chomeur\update_exp.php", "PHP", 0, 0, 96, 0, 25, 13, 134
"c:\xampp\htdocs\JobRadar\api\chomeur\validateCode.php", "PHP", 0, 0, 15, 0, 0, 3, 18
"c:\xampp\htdocs\JobRadar\api\database.php", "PHP", 0, 0, -3, 0, 0, -2, -5
"c:\xampp\htdocs\JobRadar\api\delete_exp.php", "PHP", 0, 0, -44, 0, -2, -3, -49
"c:\xampp\htdocs\JobRadar\api\employeur\annonce\add_annonce.php", "PHP", 0, 0, 38, 0, 12, 12, 62
"c:\xampp\htdocs\JobRadar\api\employeur\annonce\selectAllAnnonce.php", "PHP", 0, 0, 10, 0, 0, 2, 12
"c:\xampp\htdocs\JobRadar\api\employeur\delete_exp.php", "PHP", 0, 0, 44, 0, 2, 3, 49
"c:\xampp\htdocs\JobRadar\api\employeur\entreprise\add_piece_jointe_document.php", "PHP", 0, 0, 68, 0, 5, 10, 83
"c:\xampp\htdocs\JobRadar\api\employeur\entreprise\add_piece_jointe_image.php", "PHP", 0, 0, 68, 0, 5, 10, 83
"c:\xampp\htdocs\JobRadar\api\employeur\entreprise\delete_ent.php", "PHP", 0, 0, 44, 0, 2, 3, 49
"c:\xampp\htdocs\JobRadar\api\employeur\entreprise\edit_image_entreprise.php", "PHP", 0, 0, 71, 0, 6, 8, 85
"c:\xampp\htdocs\JobRadar\api\employeur\entreprise\update_ent.php", "PHP", 0, 0, 56, 0, 0, 6, 62
"c:\xampp\htdocs\JobRadar\api\employeur\errorMail.html", "HTML", 0, 0, 0, 42, 0, 4, 46
"c:\xampp\htdocs\JobRadar\api\employeur\nbr.php", "PHP", 0, 0, 4, 0, 1, 0, 5
"c:\xampp\htdocs\JobRadar\api\employeur\prophile\edit_photo_prophile.php", "PHP", 0, 0, 70, 0, 6, 7, 83
"c:\xampp\htdocs\JobRadar\api\employeur\saveEntreprise.php", "PHP", 0, 0, 84, 0, 7, 11, 102
"c:\xampp\htdocs\JobRadar\api\employeur\update_exp.php", "PHP", 0, 0, 96, 0, 25, 13, 134
"c:\xampp\htdocs\JobRadar\api\employeur\validateCode.php", "PHP", 0, 0, 15, 0, 0, 3, 18
"c:\xampp\htdocs\JobRadar\api\entreprise\add_piece_jointe_document.php", "PHP", 0, 0, -69, 0, -5, -9, -83
"c:\xampp\htdocs\JobRadar\api\entreprise\add_piece_jointe_image.php", "PHP", 0, 0, -69, 0, -5, -9, -83
"c:\xampp\htdocs\JobRadar\api\entreprise\delete_ent.php", "PHP", 0, 0, -44, 0, -2, -3, -49
"c:\xampp\htdocs\JobRadar\api\entreprise\edit_image_entreprise.php", "PHP", 0, 0, -72, 0, -6, -7, -85
"c:\xampp\htdocs\JobRadar\api\entreprise\update_ent.php", "PHP", 0, 0, -50, 0, 0, -4, -54
"c:\xampp\htdocs\JobRadar\api\errorMail.html", "HTML", 0, 0, 0, -42, 0, -4, -46
"c:\xampp\htdocs\JobRadar\api\login.php", "PHP", 0, 0, 4, 0, 0, 2, 6
"c:\xampp\htdocs\JobRadar\api\nbr.php", "PHP", 0, 0, -4, 0, -1, 0, -5
"c:\xampp\htdocs\JobRadar\api\prophile\edit_photo_prophile.php", "PHP", 0, 0, -76, 0, -6, -7, -89
"c:\xampp\htdocs\JobRadar\api\saveEntreprise.php", "PHP", 0, 0, -88, 0, -7, -10, -105
"c:\xampp\htdocs\JobRadar\api\saveExperiance.php", "PHP", 0, 0, -133, 0, -12, -14, -159
"c:\xampp\htdocs\JobRadar\api\saveUser.php", "PHP", 0, 0, 2, 0, 5, 12, 19
"c:\xampp\htdocs\JobRadar\api\update_exp.php", "PHP", 0, 0, -96, 0, -25, -13, -134
"c:\xampp\htdocs\JobRadar\api\validateCode.php", "PHP", 0, 0, -15, 0, 0, -3, -18
"c:\xampp\htdocs\JobRadar\api\verification_code.php", "PHP", 0, 0, 114, 0, 0, 9, 123
"c:\xampp\htdocs\JobRadar\api\verification_email.php", "PHP", 0, 0, 62, 0, 7, 14, 83
"c:\xampp\htdocs\JobRadar\config.php", "PHP", 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\JobRadar\index.php", "PHP", 0, 0, -33, 0, 0, 2, -31
"c:\xampp\htdocs\JobRadar\public\documents\1151739509332.html", "HTML", 0, 0, 0, -1, 0, 0, -1
"c:\xampp\htdocs\JobRadar\public\documents\1161740215592.html", "HTML", 0, 0, 0, -1, 0, 0, -1
"c:\xampp\htdocs\JobRadar\script\ajout_entreprise.js", "JavaScript", 0, -15, 0, 0, 0, -3, -18
"c:\xampp\htdocs\JobRadar\script\ajout_experiance.js", "JavaScript", 0, -78, 0, 0, 0, -9, -87
"c:\xampp\htdocs\JobRadar\script\chomeur\ajout_entreprise.js", "JavaScript", 0, 15, 0, 0, 0, 3, 18
"c:\xampp\htdocs\JobRadar\script\chomeur\ajout_experiance.js", "JavaScript", 0, 78, 0, 0, 0, 9, 87
"c:\xampp\htdocs\JobRadar\script\chomeur\header.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\JobRadar\script\chomeur\presentation_ent.js", "JavaScript", 0, 121, 0, 0, 31, 17, 169
"c:\xampp\htdocs\JobRadar\script\chomeur\presentation_exp.js", "JavaScript", 0, 78, 0, 0, 0, 6, 84
"c:\xampp\htdocs\JobRadar\script\chomeur\prophile.js", "JavaScript", 0, 23, 0, 0, 8, 5, 36
"c:\xampp\htdocs\JobRadar\script\code_confirmation.js", "JavaScript", 0, 39, 0, 0, 1, 5, 45
"c:\xampp\htdocs\JobRadar\script\employeur\ajout_entreprise.js", "JavaScript", 0, 15, 0, 0, 0, 3, 18
"c:\xampp\htdocs\JobRadar\script\employeur\ajout_experiance.js", "JavaScript", 0, 78, 0, 0, 0, 9, 87
"c:\xampp\htdocs\JobRadar\script\employeur\header.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\JobRadar\script\employeur\presentation_ent.js", "JavaScript", 0, 121, 0, 0, 31, 17, 169
"c:\xampp\htdocs\JobRadar\script\employeur\presentation_exp.js", "JavaScript", 0, 78, 0, 0, 0, 6, 84
"c:\xampp\htdocs\JobRadar\script\employeur\prophile.js", "JavaScript", 0, 23, 0, 0, 8, 5, 36
"c:\xampp\htdocs\JobRadar\script\header.js", "JavaScript", 0, 0, 0, 0, 0, -1, -1
"c:\xampp\htdocs\JobRadar\script\header_general.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\JobRadar\script\inscription.js", "JavaScript", 0, -108, 0, 0, 4, -18, -122
"c:\xampp\htdocs\JobRadar\script\presentation_ent.js", "JavaScript", 0, -121, 0, 0, -31, -17, -169
"c:\xampp\htdocs\JobRadar\script\presentation_exp.js", "JavaScript", 0, -78, 0, 0, 0, -6, -84
"c:\xampp\htdocs\JobRadar\script\prophile.js", "JavaScript", 0, -23, 0, 0, -8, -5, -36
"c:\xampp\htdocs\JobRadar\style\chomeur\entreprise.css", "CSS", 84, 0, 0, 0, 0, 1, 85
"c:\xampp\htdocs\JobRadar\style\chomeur\experiance.css", "CSS", 103, 0, 0, 0, 0, 2, 105
"c:\xampp\htdocs\JobRadar\style\chomeur\footer.css", "CSS", 22, 0, 0, 0, 0, 1, 23
"c:\xampp\htdocs\JobRadar\style\chomeur\header.css", "CSS", 146, 0, 0, 0, 26, 4, 176
"c:\xampp\htdocs\JobRadar\style\chomeur\index.css", "CSS", 262, 0, 0, 0, 1, 41, 304
"c:\xampp\htdocs\JobRadar\style\chomeur\presentation_ent.css", "CSS", 314, 0, 0, 0, 5, 46, 365
"c:\xampp\htdocs\JobRadar\style\chomeur\presentation_exp.css", "CSS", 219, 0, 0, 0, 1, 4, 224
"c:\xampp\htdocs\JobRadar\style\chomeur\profile.css", "CSS", 71, 0, 0, 0, 0, 0, 71
"c:\xampp\htdocs\JobRadar\style\chomeur\prophile.css", "CSS", 232, 0, 0, 0, 2, 35, 269
"c:\xampp\htdocs\JobRadar\style\employeur\entreprise.css", "CSS", 91, 0, 0, 0, 0, 1, 92
"c:\xampp\htdocs\JobRadar\style\employeur\experiance.css", "CSS", 103, 0, 0, 0, 0, 2, 105
"c:\xampp\htdocs\JobRadar\style\employeur\footer.css", "CSS", 22, 0, 0, 0, 0, 1, 23
"c:\xampp\htdocs\JobRadar\style\employeur\header.css", "CSS", 146, 0, 0, 0, 26, 4, 176
"c:\xampp\htdocs\JobRadar\style\employeur\index.css", "CSS", 237, 0, 0, 0, 0, 36, 273
"c:\xampp\htdocs\JobRadar\style\employeur\presentation_ent.css", "CSS", 317, 0, 0, 0, 5, 46, 368
"c:\xampp\htdocs\JobRadar\style\employeur\presentation_exp.css", "CSS", 219, 0, 0, 0, 1, 4, 224
"c:\xampp\htdocs\JobRadar\style\employeur\profile.css", "CSS", 71, 0, 0, 0, 0, 0, 71
"c:\xampp\htdocs\JobRadar\style\employeur\prophile.css", "CSS", 232, 0, 0, 0, 2, 35, 269
"c:\xampp\htdocs\JobRadar\style\entreprise.css", "CSS", -84, 0, 0, 0, 0, -1, -85
"c:\xampp\htdocs\JobRadar\style\experiance.css", "CSS", -103, 0, 0, 0, 0, -2, -105
"c:\xampp\htdocs\JobRadar\style\footer.css", "CSS", -22, 0, 0, 0, 0, -1, -23
"c:\xampp\htdocs\JobRadar\style\footer_general.css", "CSS", 22, 0, 0, 0, 0, 1, 23
"c:\xampp\htdocs\JobRadar\style\header.css", "CSS", -146, 0, 0, 0, -26, -4, -176
"c:\xampp\htdocs\JobRadar\style\header_general.css", "CSS", 146, 0, 0, 0, 26, 4, 176
"c:\xampp\htdocs\JobRadar\style\index.css", "CSS", -262, 0, 0, 0, -1, -41, -304
"c:\xampp\htdocs\JobRadar\style\index_general.css", "CSS", 109, 0, 0, 0, 1, 18, 128
"c:\xampp\htdocs\JobRadar\style\inscription.css", "CSS", -33, 0, 0, 0, 0, -14, -47
"c:\xampp\htdocs\JobRadar\style\presentation_ent.css", "CSS", -314, 0, 0, 0, -5, -46, -365
"c:\xampp\htdocs\JobRadar\style\presentation_exp.css", "CSS", -219, 0, 0, 0, -1, -4, -224
"c:\xampp\htdocs\JobRadar\style\profile.css", "CSS", -71, 0, 0, 0, 0, 0, -71
"c:\xampp\htdocs\JobRadar\style\prophile.css", "CSS", -232, 0, 0, 0, -2, -35, -269
"Total", "-", 1682, 246, 1372, 102, 189, 327, 3918